Name,Y0,X0,Y1,X1,Confidence,Class
0129_1,2.74889949,11.95924693,199.507633,130.1522892,0.99994874,1
1452_4,27.80216578,16.785153,160.3892462,130.868771,0.999984026,1
0106_35,13.16312844,25.55447674,215.3742363,151.8124666,0.999980927,1
0621_1,34.73468494,30.01766348,158.5741262,157.2879276,0.999990702,1
1672_24,0,24.42873815,329.7327778,128.7633501,0.99999392,1
0821_1,14.49412683,19.5652273,365.5581884,118.0191439,0.999995053,1
0025_25,24.76094505,28.8744927,140.3120048,159.3359397,0.999998152,1
1513_18,13.19705877,25.13824037,240.2845925,121.1096528,0.999983788,1
0339_28,21.51437449,17.94223845,145.809894,153.9773889,0.99980092,1
1511_2,12.92145354,13.93304288,155.6105471,133.3780786,0.999999583,1
1701_20,22.12052578,38.77325341,144.9231525,151.5005541,0.988210797,1
0075_1,13.87122953,19.46371421,192.2075343,128.6760125,0.999983668,1
1246_6,23.48028034,14.08268997,188.7298492,128.3835039,0.999996066,1
0418_1,3.927170068,12.50808826,141.6738806,141.5198128,0.999916673,1
0515_8,0,0.040857464,226.4177581,127.62227,0.99985683,1
0261_25,14.18627188,20.09974872,150.3611273,80.44314563,0.992413759,1
0261_25,9.808099419,96.39408439,141.7219734,157.4822498,0.839592278,1
1494_5,7.713622838,16.66856825,161.1942471,145.0741507,0.999991953,1
1581_1,9.264358878,18.56935996,230.0519219,128.9091225,0.999999225,1
0167_50,19.41927469,26.17578614,225.6802673,132.9614621,0.999986351,1
1534_2,16.67387211,17.8811923,173.7563082,127.6808801,0.999996662,1
0426_7,26.29319,22.26690316,176.0367508,147.3522577,0.999999881,1
1466_9,17.61200655,16.57399222,187.5802139,140.7673242,0.999861002,1
0219_34,6.692534238,12.12253293,179.2903087,149.2940304,0.999998987,1
1417_88,20.5247733,38.72466365,221.9082859,128.2676679,0.999999404,1
0572_4,11.5701808,24.86982456,194.5544821,135.709457,0.99999845,1
0912_130,25.76074016,21.60944912,155.7218096,149.7127314,0.999998391,1
0848_107,22.6564846,26.70519906,183.0253172,153.0333194,0.999989748,1
0300_9,21.60515779,28.72010243,262.2497206,115.4947469,0.998244762,1
0200_15,19.71128285,21.20973095,169.5362413,135.769068,0.999980509,1
0131_5,22.47868824,38.71671161,161.4906511,135.0385015,0.999995828,1
0540_19,28.78861904,34.40880358,209.5464807,138.7370995,0.999999642,1
0157_14,7.833486378,10.72968337,202.5404332,136.5226808,0.99971962,1
1371_19,4.629904747,15.1582329,179.0964575,133.7204722,0.999997973,1
0697_39,21.55815947,17.60755447,179.3751494,123.6940148,0.999881029,1
1115_6,13.089246,23.49815443,205.6603265,119.2781419,0.999918938,1
1739_6,10.54703754,14.61705527,188.8357635,118.7234538,0.999998927,1
1795_1,26.0293707,23.89109898,194.7782922,144.1183783,0.99999404,1
0442_51,23.85088512,27.04375982,157.2043031,148.8004893,0.999999225,1
1536_12,19.80755073,27.88400415,192.3239023,121.1866347,0.999990106,1
1770_30,6.038124859,3.393074393,225.895505,135.2649755,0.999504149,1
0896_2,25.14928347,25.41186056,149.2174986,146.5840118,0.998805046,1
1268_1,22.70256504,19.32098895,160.8433634,145.8620335,0.999868274,1
1975_97,30.67419857,21.01818204,198.4844527,145.9135687,0.999955177,1
1952_6,14.45254311,18.13673034,160.2943897,150.1092982,0.999984026,1
0716_25,14.54209024,15.61951205,192.4951463,149.7713953,0.999999642,1
0708_5,15.38733399,20.38374633,157.2211025,139.5305325,0.999994278,1
0198_19,13.66292149,27.49970794,187.5465727,121.7619944,0.999580204,1
0577_65,23.26892114,13.10726625,192.3196986,146.6507263,0.999999762,1
0039_1,11.56177649,6.293994427,195.3642254,148.8241031,0.999955654,1
0577_26,31.73971802,22.0985674,186.3023272,140.3588693,0.999999881,1
0319_18,10.9713845,19.5608992,143.8911513,137.5365084,0.999825656,1
0864_4,8.778509498,15.98242939,165.0026396,141.0228893,0.999994516,1
0355_3,14.04965562,16.58984929,197.5685715,123.5550004,0.999999166,1
1272_7,11.15413341,11.6053243,155.8801399,144.9345255,0.99999541,1
0817_37,25.24936813,29.63422918,225.3820248,128.6204398,0.999999404,1
0469_9,17.61208034,19.70788014,167.2159728,139.3375912,0.999937177,1
2037_11,11.91757205,11.59620288,201.5530965,130.520421,0.999963701,1
1618_1,7.408165336,22.57382369,161.5986249,141.7262281,0.999999285,1
0210_4,14.98195276,20.73584342,148.6829129,145.7846935,0.999999881,1
1975_79,22.36646175,42.22773483,173.2473052,142.3268459,0.999945045,1
1875_31,16.8137354,17.77641127,154.8605475,144.0878544,0.999993443,1
0388_3,7.888588607,16.11432123,192.6969616,142.2299491,0.999996543,1
0647_42,24.61912483,27.14169827,192.869094,143.3896928,0.999896526,1
0134_73,13.44989264,20.8007288,226.7129421,129.4510536,0.999965191,1
0711_8,22.2840215,18.06800365,193.5888921,130.9648324,0.999889374,1
1586_5,7.383066505,23.94392419,177.9500635,156.123328,0.999745071,1
0110_9,5.57320112,3.25675419,165.9053912,138.6348242,0.999823689,1
1323_14,12.46586251,15.97345737,160.2536206,153.2641137,0.999998987,1
1328_56,25.85181943,18.70528215,183.2590041,142.7032014,0.999997735,1
0131_118,20.31148732,24.34071735,172.8307041,146.1548173,0.999998391,1
1252_1,0.521440119,8.6883021,165.2815629,144.4480854,0.999991417,1
1366_4,41.10393018,38.59369129,248.6328005,106.9998059,0.999465823,1
1513_6,24.1893366,39.17716563,193.8683975,143.2066298,0.999999046,1
0035_3,21.10972515,25.42112359,176.5556359,139.2935987,0.999993801,1
0388_5,22.18720838,7.041113883,162.2055101,145.627265,0.99998343,1
1936_2,4.17248854,24.02839851,180.2415913,116.2272516,0.999329925,1
1228_1,1.468453109,5.357947648,241.6307618,122.566731,0.998717189,1
1715_13,7.75520587,4.685878754,165.7830662,150.6208652,0.999931574,1
0885_8,21.60634443,18.57156426,197.3395954,129.1599941,0.999999166,1
1680_12,13.07727161,8.272805125,168.0986915,151.9336969,0.999956131,1
1281_13,23.70178744,13.42260823,169.2310178,129.2637902,0.999997914,1
0467_6,25.04982901,5.714797854,140.7077329,155.7486866,0.999924541,1
0373_2,23.96147549,21.99549899,167.3726559,127.2160916,0.999988496,1
0188_1,8.425649911,12.14966038,194.2248067,142.0786082,0.999298453,1
0480_1,6.919958651,15.79578593,174.7287692,136.2630814,0.999999523,1
1417_174,20.04230618,39.16688338,195.8538902,138.5106218,0.999998569,1
0976_15,21.37404951,20.70523357,212.7784719,139.4231014,0.999999583,1
1967_27,17.92760491,27.72303605,175.7381678,134.3245039,0.999999881,1
0639_36,10.784798,16.72866225,187.743315,152.11975,0.999933958,1
1204_8,10.12409019,16.52170828,120.8255875,105.2530779,0.999936461,1
1694_2,0.796509504,1.359630823,173,129.9569774,0.999888182,1
0144_4,12.07586616,16.54185876,146.0215071,141.6845101,0.999972701,1
